identifier,phrog,product,function
phage_1559,p-180,baseplate wedge subunit,tail
phage_1560,p-9483,tail length tape measure protein,tail
phage_1561,p-18345,tail fiber protein,tail
phage_1562,p-44,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1563,p-14349,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_1564,p-1272,tail length tape measure protein,tail
phage_1565,p-6819,Holliday junction branch migration helicase,"DNA, RNA and nucleotide metabolism"
phage_1566,p-510,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1567,p-15427,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1568,p-25852,virion structural protein,head and packaging
phage_1569,p-11,baseplate spike,tail
phage_1570,p-37649,tail length tape measure protein,tail
phage_1571,p-32201,,unknown function
phage_1572,p-1146,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_1573,p-9959,tail length tape measure protein,tail
phage_1574,p-1,integrase,integration and excision
phage_1575,p-379,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1576,p-1468,transcriptional repressor,transcription regulation
phage_1577,p-655,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1578,p-497,toxin-antitoxin system HicB-like,"moron, auxiliary metabolic gene and host takeover"
phage_1579,p-11894,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_1580,p-1535,tail length tape measure protein,tail
phage_1581,p-33693,portal protein,head and packaging
phage_1582,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_1583,p-104,portal protein,head and packaging
phage_1584,p-981,minor tail protein,tail
phage_1585,p-677,baseplate wedge tail fiber protein connector,tail
phage_1586,p-124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_1587,p-6651,internal virion protein,head and packaging
phage_1588,p-5616,tail fiber protein,tail
phage_1589,p-3041,cytidyltransferase,other
phage_1590,p-2524,,unknown function
phage_1591,p-19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism"
phage_1592,p-1716,tail length tape measure protein,tail
phage_1593,p-16259,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_1594,p-8510,virion structural protein,head and packaging
phage_1595,p-3301,pyrophosphatase,other
phage_1596,p-18522,tail protein,tail
phage_1597,p-4268,transcriptional repressor,transcription regulation
phage_1598,p-1087,,unknown function
phage_1599,p-2538,terminase small subunit,head and packaging
phage_1600,p-863,tail fiber assembly,tail
phage_1601,p-3287,virion structural protein,head and packaging
phage_1602,p-776,portal protein,head and packaging
phage_1603,p-1832,released from the phage upon host infection,other
phage_1604,p-24759,methyltransferase,other
phage_1605,p-151,transposase,integration and excision
phage_1606,p-435,endolysin,lysis
phage_1607,p-10356,virion structural protein,head and packaging
phage_1608,p-1663,dCTP deaminase,"DNA, RNA and nucleotide metabolism"
phage_1609,p-19395,tail fiber protein; host specificity,tail
phage_1610,p-378,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1611,p-2657,transcriptional regulator,transcription regulation
phage_1612,p-248,transcriptional activator,transcription regulation
phage_1613,p-10886,transcriptional regulator,transcription regulation
phage_1614,p-13893,tail protein,tail
phage_1615,p-578,head closure Hc3,connector
phage_1616,p-8865,head scaffolding protein,head and packaging
phage_1617,p-18891,tail length tape measure protein,tail
phage_1618,p-2386,virion structural protein,head and packaging
phage_1619,p-4602,transglycosylase,other
phage_1620,p-22267,transcriptional regulator WhiB-like,transcription regulation
phage_1621,p-9116,tail protein,tail
phage_1622,p-67,DNA methyltransferase,other
phage_1623,p-9116,tail protein,tail
phage_1624,p-2589,tail protein,tail
phage_1625,p-1794,amidase,lysis
phage_1626,p-2249,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1627,p-10365,late transcriptional activator,transcription regulation
phage_1628,p-968,RNA ligase,"DNA, RNA and nucleotide metabolism"
phage_1629,p-2890,peptide deformylase,other
phage_1630,p-66,excisionase and transcriptional regulator,integration and excision
phage_1631,p-30742,tail fiber protein,tail
phage_1632,p-2688,,unknown function
phage_1633,p-634,baseplate hub assembly catalyst,tail
phage_1634,p-1249,acetyltransferase,other
phage_1635,p-9474,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1636,p-540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism"
phage_1637,p-31,central tail fiber J,tail
phage_1638,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1639,p-29,major head protein,head and packaging
phage_1640,p-6211,minor tail protein,tail
phage_1641,p-358,,unknown function
phage_1642,p-445,terminase small subunit,head and packaging
phage_1643,p-863,tail fiber assembly,tail
phage_1644,p-15437,tail fiber protein,tail
phage_1645,p-1383,virion structural protein,head and packaging
phage_1646,p-541,head-tail adaptor,connector
phage_1647,p-1800,tail collar fiber protein,tail
phage_1648,p-99,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1649,p-641,terminase small subunit,head and packaging
phage_1650,p-4212,,unknown function
phage_1651,p-128,,unknown function
phage_1652,p-9665,transcriptional regulator,transcription regulation
phage_1653,p-284,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_1654,p-1032,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1655,p-9522,major tail protein,tail
phage_1656,p-9366,transposase,integration and excision
phage_1657,p-1766,tail fiber protein,tail
phage_1658,p-1963,,unknown function
phage_1659,p-6025,DNA methyltransferase,other
phage_1660,p-17885,tail fiber protein,tail
phage_1661,p-62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_1662,p-2675,DNA methyltransferase,other
phage_1663,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1664,p-79,anti-termination protein Q-like,transcription regulation
phage_1665,p-54,DksA-like zinc-finger protein,other
phage_1666,p-40,head-tail adaptor Ad1,connector
phage_1667,p-6251,replisome organizer DnaA-like,"DNA, RNA and nucleotide metabolism"
phage_1668,p-38233,tail fiber protein,tail
phage_1669,p-5668,tail fiber protein,tail
phage_1670,p-323,"transcriptional regulator, D5-like",transcription regulation
phage_1671,p-1011,virion structural protein,head and packaging
phage_1672,p-13911,virion structural protein,head and packaging
phage_1673,p-61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_1674,p-3904,tail fiber protein,tail
phage_1675,p-270,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1676,p-451,,unknown function
phage_1677,p-18104,transcriptional regulator,transcription regulation
phage_1678,p-1670,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1679,p-14064,tail fiber protein,tail
phage_1680,p-405,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1681,p-8469,tail fiber protein,tail
phage_1682,p-6942,tail fiber protein,tail
phage_1683,p-6958,virion structural protein,head and packaging
phage_1684,p-93,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1685,p-5838,virion structural protein,head and packaging
phage_1686,p-2468,head morphogenesis,head and packaging
phage_1687,p-12,portal protein,head and packaging
phage_1688,p-9017,tail fiber protein,tail
phage_1689,p-5799,,unknown function
phage_1690,p-540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism"
phage_1691,p-5190,,unknown function
phage_1692,p-3188,co-chaperonin GroES,other
phage_1693,p-21,portal protein,head and packaging
phage_1694,p-456,Rz-like spanin,lysis
phage_1695,p-21412,tail fiber protein,tail
phage_1696,p-156,portal protein,head and packaging
phage_1697,p-13819,gpCom control of modification,"DNA, RNA and nucleotide metabolism"
phage_1698,p-581,minor head protein,head and packaging
phage_1699,p-9,terminase large subunit,head and packaging
phage_1700,p-4008,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1701,p-249,porphyrin biosynthesis,"moron, auxiliary metabolic gene and host takeover"
phage_1702,p-18345,tail fiber protein,tail
phage_1703,p-2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_1704,p-612,RIIA lysis inhibitor,lysis
phage_1705,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_1706,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1707,p-13857,tail protein,tail
phage_1708,p-3301,pyrophosphatase,other
phage_1709,p-540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism"
phage_1710,p-472,WhiB transcriptional factor,transcription regulation
phage_1711,p-2328,transcriptional repressor,transcription regulation
phage_1712,p-8510,virion structural protein,head and packaging
phage_1713,p-35,transcriptional repressor,transcription regulation
phage_1714,p-1885,minor tail protein,tail
phage_1715,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1716,p-20554,hyaluronidase,other
phage_1717,p-5131,thymidylate synthase,"DNA, RNA and nucleotide metabolism"
phage_1718,p-1887,tail protein,tail
phage_1719,p-8510,virion structural protein,head and packaging
phage_1720,p-305,tail length tape measure protein,tail
phage_1721,p-3636,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1722,p-3041,cytidyltransferase,other
phage_1723,p-1640,tail protein,tail
phage_1724,p-2013,lytic tail protein,tail
phage_1725,p-17300,tail length tape measure protein,tail
phage_1726,p-403,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_1727,p-2890,peptide deformylase,other
phage_1728,p-873,endolysin,head and packaging
phage_1729,p-9019,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_1730,p-2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_1731,p-28234,endolysin,lysis
phage_1732,p-221,metallo-phosphoesterase,other
phage_1733,p-5255,tail length tape measure protein,tail
phage_1734,p-229,MazG-like pyrophosphatase,other
phage_1735,p-17594,tail length tape measure protein,tail
phage_1736,p-34020,,unknown function
phage_1737,p-2975,Rz-like spanin,lysis
phage_1738,p-4211,tail length tape measure protein,tail
phage_1739,p-1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover"
phage_1740,p-13107,,unknown function
phage_1741,p-4372,tail length tape measure protein,tail
phage_1742,p-11801,DNA methyltransferase,other
phage_1743,p-13493,,unknown function
phage_1744,p-3810,acetyltransferase,other
phage_1745,p-5718,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1746,p-38058,tail fiber protein,tail
phage_1747,p-81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_1748,p-22092,,unknown function
phage_1749,p-6700,endolysin,lysis
phage_1750,p-25763,,unknown function
phage_1751,p-64,portal protein,head and packaging
phage_1752,p-362,transcriptional repressor,transcription regulation
phage_1753,p-13930,,unknown function
phage_1754,p-36353,virion structural protein,head and packaging
phage_1755,p-458,protease,other
phage_1756,p-771,virion structural protein,head and packaging
phage_1757,p-1,integrase,integration and excision
phage_1758,p-3884,major tail protein,tail
phage_1759,p-5813,tail assembly chaperone,tail
phage_1760,p-4201,tail fiber protein,tail
phage_1761,p-8510,virion structural protein,head and packaging
phage_1762,p-405,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1763,p-8125,tail length tape measure protein,tail
phage_1764,p-3287,virion structural protein,head and packaging
phage_1765,p-2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1766,p-5668,tail fiber protein,tail
phage_1767,p-11522,,unknown function
phage_1768,p-1,integrase,integration and excision
phage_1769,p-14988,peptidase,other
phage_1770,p-445,terminase small subunit,head and packaging
phage_1771,p-1005,major head protein,head and packaging
phage_1772,p-3598,transposase,integration and excision
phage_1773,p-16823,tail length tape measure protein,tail
phage_1774,p-289,GTP-binding domain,other
phage_1775,p-236,nucleotide kinase,other
phage_1776,p-4381,,unknown function
phage_1777,p-32853,,unknown function
phage_1778,p-947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism"
phage_1779,p-677,baseplate wedge tail fiber protein connector,tail
phage_1780,p-651,head morphogenesis,head and packaging
phage_1781,p-807,major tail protein with Ig-like domain,tail
phage_1782,p-176,tail terminator,connector
phage_1783,p-5668,tail fiber protein,tail
phage_1784,p-4752,tRNA methyltransferase,other
phage_1785,p-4798,tail protein,tail
phage_1786,p-6005,virion structural protein,head and packaging
phage_1787,p-979,terminase large subunit,head and packaging
phage_1788,p-1740,RNA polymerase sigma factor,transcription regulation
phage_1789,p-6958,virion structural protein,head and packaging
phage_1790,p-187,head-tail adaptor,connector
phage_1791,p-26672,virion structural protein,head and packaging
phage_1792,p-404,minor tail protein,tail
phage_1793,p-195,head-tail adaptor,connector
phage_1794,p-1506,tail length tape measure protein,tail
phage_1795,p-9570,tail length tape measure protein,tail
phage_1796,p-10475,endolysin,lysis
phage_1797,p-645,Rnase E,"DNA, RNA and nucleotide metabolism"
phage_1798,p-237,head scaffolding protein,head and packaging
phage_1799,p-8462,tail length tape measure protein,tail
phage_1800,p-80,head maturation protease,head and packaging
phage_1801,p-8271,,unknown function
phage_1802,p-18104,transcriptional regulator,transcription regulation
phage_1803,p-2729,virion structural protein,head and packaging
phage_1804,p-5481,tail fiber protein,tail
phage_1805,p-115,minor head protein,head and packaging
phage_1806,p-8510,virion structural protein,head and packaging
phage_1807,p-34405,tail length tape measure protein,tail
phage_1808,p-1756,tail protein,tail
phage_1809,p-24,tail length tape measure protein,tail
phage_1810,p-5736,transcriptional regulator,transcription regulation
phage_1811,p-17517,tail protein,tail
phage_1812,p-1993,,unknown function
phage_1813,p-1128,enoyl-CoA hydratase/carnithine racemase-like,"moron, auxiliary metabolic gene and host takeover"
phage_1814,p-2443,amidoligase enzyme,other
phage_1815,p-8,transcriptional regulator,transcription regulation
phage_1816,p-17058,,unknown function
phage_1817,p-36,transcriptional regulator,transcription regulation
phage_1818,p-6651,internal virion protein,head and packaging
phage_1819,p-192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_1820,p-2,terminase large subunit,head and packaging
phage_1821,p-9942,tail fiber protein,tail
phage_1822,p-22502,methyltransferase,other
phage_1823,p-371,major head protein,head and packaging
phage_1824,p-1731,virion structural protein,head and packaging
phage_1825,p-4201,tail fiber protein,tail
phage_1826,p-973,tail length tape measure protein,tail
phage_1827,p-21,portal protein,head and packaging
phage_1828,p-100,SbcD-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1829,p-1468,transcriptional repressor,transcription regulation
phage_1830,p-64,portal protein,head and packaging
phage_1831,p-34252,endolysin,lysis
phage_1832,p-2522,major head protein,head and packaging
phage_1833,p-9232,portal protein,head and packaging
phage_1834,p-283,major head protein,head and packaging
phage_1835,p-925,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1836,p-21054,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1837,p-513,transposase,integration and excision
phage_1838,p-47,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_1839,p-9959,tail length tape measure protein,tail
phage_1840,p-18891,tail length tape measure protein,tail
phage_1841,p-99,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1842,p-14417,tail fiber protein; host specificity,tail
phage_1843,p-6880,translation elongation factor,other
phage_1844,p-4736,L-glutamine-D-fructose-6-phosphate aminotransferase,other
phage_1845,p-617,major head protein,head and packaging
phage_1846,p-18345,tail fiber protein,tail
phage_1847,p-23570,virion structural protein,head and packaging
phage_1848,p-6121,virion structural protein,head and packaging
phage_1849,p-9703,head decoration,head and packaging
phage_1850,p-57,terminase small subunit,head and packaging
phage_1851,p-213,portal protein,head and packaging
phage_1852,p-399,structural protein,head and packaging
phage_1853,p-2562,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_1854,p-147,transcriptional regulator,transcription regulation
phage_1855,p-15406,DNA methyltransferase,other
phage_1856,p-34948,,unknown function
phage_1857,p-2006,major head protein,head and packaging
phage_1858,p-1039,immunity to superinfection,"moron, auxiliary metabolic gene and host takeover"
phage_1859,p-442,head-tail adaptor,connector
phage_1860,p-673,head scaffolding protein,head and packaging
phage_1861,p-36,transcriptional regulator,transcription regulation
phage_1862,p-445,terminase small subunit,head and packaging
phage_1863,p-2710,tail fiber protein,tail
phage_1864,p-1314,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1865,p-1075,tRNA splicing ligase,"DNA, RNA and nucleotide metabolism"
phage_1866,p-6002,virion structural protein,head and packaging
phage_1867,p-35,transcriptional repressor,transcription regulation
phage_1868,p-976,head maturation protease,head and packaging
phage_1869,p-4419,head protein,head and packaging
phage_1870,p-11,baseplate spike,tail
phage_1871,p-2967,transcriptional regulator,transcription regulation
phage_1872,p-31692,terminase large subunit,head and packaging
phage_1873,p-3188,co-chaperonin GroES,other
phage_1874,p-1407,major tail protein,tail
phage_1875,p-405,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1876,p-122,head decoration,head and packaging
phage_1877,p-34,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_1878,p-460,head closure Hc2,connector
phage_1879,p-5989,terminase large subunit,head and packaging
phage_1880,p-2801,,unknown function
phage_1881,p-11095,,unknown function
phage_1882,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1883,p-107,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_1884,p-26675,endolysin,lysis
phage_1885,p-3899,,unknown function
phage_1886,p-7458,tail spike protein,tail
phage_1887,p-1167,phosphofructokinase,other
phage_1888,p-3427,holin,lysis
phage_1889,p-10356,virion structural protein,head and packaging
phage_1890,p-1922,baseplate hub subunit and tail lysozyme,tail
phage_1891,p-1645,virion structural protein,head and packaging
phage_1892,p-3910,transcriptional regulator,transcription regulation
phage_1893,p-9116,tail protein,tail
phage_1894,p-7735,excisionase,integration and excision
phage_1895,p-89,Rz-like spanin,lysis
phage_1896,p-497,toxin-antitoxin system HicB-like,"moron, auxiliary metabolic gene and host takeover"
phage_1897,p-33063,,unknown function
phage_1898,p-14478,virion structural protein,head and packaging
phage_1899,p-219,baseplate wedge subunit,tail
phage_1900,p-6184,,unknown function
phage_1901,p-2589,tail protein,tail
phage_1902,p-267,major head protein,head and packaging
phage_1903,p-4044,terminase small subunit,head and packaging
phage_1904,p-6918,holin,lysis
phage_1905,p-878,,unknown function
phage_1906,p-548,RNA ligase,"DNA, RNA and nucleotide metabolism"
phage_1907,p-37649,tail length tape measure protein,tail
phage_1908,p-1357,major head protein,head and packaging
phage_1909,p-17,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1910,p-5668,tail fiber protein,tail
phage_1911,p-1082,tail assembly protein,tail
phage_1912,p-2658,hol-like chemotaxis,other
phage_1913,p-18522,tail protein,tail
phage_1914,p-1064,prohead,head and packaging
phage_1915,p-3513,endolysin,lysis
phage_1916,p-24210,tail fiber protein,tail
phage_1917,p-1158,tail assembly chaperone,tail
phage_1918,p-12607,nucleoside deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_1919,p-17109,DNA circularization,"DNA, RNA and nucleotide metabolism"
phage_1920,p-2967,transcriptional regulator,transcription regulation
phage_1921,p-4542,tail tube protein,tail
phage_1922,p-3441,,unknown function
phage_1923,p-21059,virion structural protein,head and packaging
phage_1924,p-2264,,unknown function
phage_1925,p-6090,tail length tape measure protein,tail
phage_1926,p-4211,tail length tape measure protein,tail
phage_1927,p-3287,virion structural protein,head and packaging
phage_1928,p-25,head closure Hc1,connector
phage_1929,p-11518,tail fiber protein,tail
phage_1930,p-24099,,unknown function
phage_1931,p-8079,neck protein,connector
phage_1932,p-18345,tail fiber protein,tail
phage_1933,p-3519,tail length tape measure protein,tail
phage_1934,p-4912,tail fiber assembly,tail
phage_1935,p-761,thymidylate kinase,other
phage_1936,p-376,tail protein,tail
phage_1937,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_1938,p-3869,NAD-dependent DNA ligase,"DNA, RNA and nucleotide metabolism"
phage_1939,p-37470,,unknown function
phage_1940,p-16150,tail assembly protein,tail
phage_1941,p-568,plasmid stability,"DNA, RNA and nucleotide metabolism"
phage_1942,p-330,tail assembly chaperone,tail
phage_1943,p-36,transcriptional regulator,transcription regulation
phage_1944,p-4542,tail tube protein,tail
phage_1945,p-1272,tail length tape measure protein,tail
phage_1946,p-938,endolysin,lysis
phage_1947,p-33450,tail fiber protein,tail
phage_1948,p-40,head-tail adaptor Ad1,connector
phage_1949,p-18345,tail fiber protein,tail
phage_1950,p-457,tail protein,tail
phage_1951,p-74,terminase small subunit,head and packaging
phage_1952,p-2867,virion structural protein,head and packaging
phage_1953,p-351,RNA polymerase sigma factor,transcription regulation
phage_1954,p-1459,terminase small subunit,head and packaging
phage_1955,p-355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_1956,p-19943,virion structural protein,head and packaging
phage_1957,p-57,terminase small subunit,head and packaging
phage_1958,p-135,dUTPase,"DNA, RNA and nucleotide metabolism"
phage_1959,p-14945,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_1960,p-22602,virion structural protein,head and packaging
phage_1961,p-59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_1962,p-9668,excisionase,integration and excision
phage_1963,p-6183,minor tail protein,tail
phage_1964,p-2538,terminase small subunit,head and packaging
phage_1965,p-4636,tail spike protein,tail
phage_1966,p-5995,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_1967,p-502,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_1968,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1969,p-1026,Rz-like spanin,lysis
phage_1970,p-445,terminase small subunit,head and packaging
phage_1971,p-4963,tail assembly chaperone,tail
phage_1972,p-10475,endolysin,lysis
phage_1973,p-582,Arc-like repressor,transcription regulation
phage_1974,p-118,head-tail adaptor,connector
phage_1975,p-1,integrase,integration and excision
phage_1976,p-10519,virion structural protein,head and packaging
phage_1977,p-14923,,unknown function
phage_1978,p-2097,tail fiber protein,tail
phage_1979,p-15152,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_1980,p-3041,cytidyltransferase,other
phage_1981,p-5107,amidase,lysis
phage_1982,p-4736,L-glutamine-D-fructose-6-phosphate aminotransferase,other
phage_1983,p-8462,tail length tape measure protein,tail
phage_1984,p-13892,minor tail protein,tail
phage_1985,p-7245,anti-restriction protein,"moron, auxiliary metabolic gene and host takeover"
phage_1986,p-18345,tail fiber protein,tail
phage_1987,p-2534,released from the phage upon host infection,other
phage_1988,p-4853,,unknown function
phage_1989,p-73,head scaffolding protein,head and packaging
phage_1990,p-3267,tail protein,tail
phage_1991,p-323,"transcriptional regulator, D5-like",transcription regulation
phage_1992,p-6090,tail length tape measure protein,tail
phage_1993,p-3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover"
phage_1994,p-391,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_1995,p-3840,tail assembly chaperone,tail
phage_1996,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_1997,p-8865,head scaffolding protein,head and packaging
phage_1998,p-296,DNA transposition protein,integration and excision
phage_1999,p-3547,tail length tape measure protein,tail
phage_2000,p-325,Dda-like helicase,"DNA, RNA and nucleotide metabolism"
phage_2001,p-2244,tRNA nucleotidyltransferase,"DNA, RNA and nucleotide metabolism"
phage_2002,p-2392,ABC transporter,"moron, auxiliary metabolic gene and host takeover"
phage_2003,p-944,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_2004,p-24527,virion structural protein,head and packaging
phage_2005,p-124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_2006,p-2224,GtrA-like O-antigen conversion,"moron, auxiliary metabolic gene and host takeover"
phage_2007,p-4310,,unknown function
phage_2008,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_2009,p-5073,tail fiber protein,tail
phage_2010,p-20,holin,lysis
phage_2011,p-575,Cox-like excisionase and repressor,integration and excision
phage_2012,p-3590,,unknown function
phage_2013,p-664,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_2014,p-87,metallo-protease,other
phage_2015,p-83,terminase small subunit,head and packaging
phage_2016,p-130,anti-repressor Ant,transcription regulation
phage_2017,p-4942,,unknown function
phage_2018,p-66,excisionase and transcriptional regulator,integration and excision
phage_2019,p-24210,tail fiber protein,tail
phage_2020,p-170,PhoH-like phosphate starvation-inducible,other
phage_2021,p-8215,baseplate wedge initiator,tail
phage_2022,p-241,head morphogenesis,head and packaging
phage_2023,p-1190,RNA polymerase sigma factor,transcription regulation
phage_2024,p-2649,endolysin,lysis
phage_2025,p-4441,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_2026,p-6218,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_2027,p-14254,,unknown function
phage_2028,p-1032,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_2029,p-5668,tail fiber protein,tail
phage_2030,p-4738,transcriptional repressor,transcription regulation
phage_2031,p-345,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_2032,p-90,endolysin,lysis
phage_2033,p-3779,tail length tape measure protein,tail
phage_2034,p-7220,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism"
phage_2035,p-612,RIIA lysis inhibitor,lysis
phage_2036,p-944,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_2037,p-241,head morphogenesis,head and packaging
phage_2038,p-1887,tail protein,tail
phage_2039,p-13470,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_2040,p-26699,DNA methyltransferase,other
phage_2041,p-4752,tRNA methyltransferase,other
phage_2042,p-36129,,unknown function
phage_2043,p-2675,DNA methyltransferase,other
phage_2044,p-3041,cytidyltransferase,other
phage_2045,p-2545,head-tail adaptor Ad1,connector
phage_2046,p-178,high light inducible protein,other
phage_2047,p-2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_2048,p-1,integrase,integration and excision
phage_2049,p-33406,tail fiber protein,tail
phage_2050,p-156,portal protein,head and packaging
phage_2051,p-379,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_2052,p-26446,anaerobic ribonucleoside reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_2053,p-5493,tail length tape measure protein,tail
phage_2054,p-10174,nucleotidyltransferase,"DNA, RNA and nucleotide metabolism"
phage_2055,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_2056,p-10051,endolysin,lysis
phage_2057,p-35419,tail fiber protein,tail
phage_2058,p-207,head maturation protease,head and packaging
phage_2059,p-2002,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_2060,p-80,head maturation protease,head and packaging
phage_2061,p-1645,virion structural protein,head and packaging
phage_2062,p-405,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_2063,p-841,GtrB-like O-antigen conversion,"moron, auxiliary metabolic gene and host takeover"
phage_2064,p-11011,long tail fiber protein distal subunit,tail
phage_2065,p-4912,tail fiber assembly,tail
phage_2066,p-31,central tail fiber J,tail
phage_2067,p-7481,,unknown function
phage_2068,p-9729,tail fiber protein,tail
phage_2069,p-6681,terminase large subunit,head and packaging
phage_2070,p-6547,portal protein,head and packaging
phage_2071,p-16568,Ren-like exclusion protein,"moron, auxiliary metabolic gene and host takeover"
phage_2072,p-9474,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_2073,p-5939,tail protein,tail
phage_2074,p-7878,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,other
phage_2075,p-4871,ATP-dependent protease,other
phage_2076,p-21866,primase,"DNA, RNA and nucleotide metabolism"
phage_2077,p-84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_2078,p-704,DNA repair exonuclease,"DNA, RNA and nucleotide metabolism"
phage_2079,p-1292,tail length tape measure protein,tail
phage_2080,p-31460,tail protein,tail
